deadhead_id,arrival_time,departure_time,stop_id,location_sequence,shape_dist_traveled,ops_location_id
55845996,18:34:00,18:34:00,900,1,,
55845996,18:55:00,18:55:00,,2,,47800
55845997,10:19:00,10:19:00,903,1,,
55845997,10:38:00,10:38:00,,2,,47800
55845998,17:04:00,17:04:00,,1,,47800
55845998,17:20:00,17:20:00,899,2,,
55845999,19:18:00,19:18:00,31255,1,,
55845999,19:28:00,19:28:00,,2,,47800
55846000,09:20:00,09:20:00,,1,,47800
55846000,09:35:00,09:35:00,899,2,,
55846001,17:28:00,17:28:00,17861,1,,
55846001,17:41:00,17:41:00,,2,,47800
55846002,19:48:00,19:48:00,323,1,,
55846002,20:08:00,20:08:00,,2,,47800
55846003,18:33:00,18:33:00,31255,1,,
55846003,18:43:00,18:43:00,,2,,47800
55846004,11:24:00,11:24:00,,1,,47800
55846004,11:35:00,11:35:00,178,2,,
55846005,16:20:00,16:20:00,,1,,47800
55846005,16:43:00,16:43:00,175,2,,
55846006,18:23:00,18:23:00,33,1,,
55846006,18:33:00,18:33:00,,2,,47800
55846007,16:46:00,16:46:00,,1,,47800
55846007,17:05:00,17:05:00,8178,2,,
55846008,10:44:00,10:44:00,7600,1,,
55846008,11:11:00,11:11:00,,2,,47800
55846009,16:25:00,16:25:00,6551,1,,
55846009,16:38:00,16:38:00,,2,,47800
55846010,05:52:00,05:52:00,,1,,47800
55846010,06:08:00,06:08:00,900,2,,
55846011,13:35:00,13:35:00,,1,,47800
55846011,13:50:00,13:50:00,6551,2,,
55846012,09:24:00,09:24:00,6551,1,,
55846012,09:37:00,09:37:00,,2,,47800
55846013,16:25:00,16:25:00,,1,,47800
55846013,16:45:00,16:45:00,323,2,,
55846014,19:07:00,19:07:00,33,1,,
55846014,19:17:00,19:17:00,,2,,47800
55846015,15:50:00,15:50:00,,1,,47800
55846015,16:05:00,16:05:00,903,2,,
55846016,08:27:00,08:27:00,899,1,,
55846016,08:43:00,08:43:00,,2,,47800
55846017,11:12:00,11:12:00,,1,,47800
